/* DATA DESCRIPTION:
Citation:	Jouzel, Jean; Masson-Delmotte, Valerie (2007): EPICA Dome C Ice Core 800KYr deuterium data and temperature estimates. PANGAEA, https://doi.org/10.1594/PANGAEA.683655, 
	Supplement to: Jouzel, Jean; Masson-Delmotte, Valerie; Cattani, Olivier; Dreyfus, Gabrielle; Falourd, Sonia; Hoffmann, G; Minster, B; Nouet, J; Barnola, Jean-Marc; Chappellaz, Jérôme A; Fischer, Hubertus; Gallet, J C; Johnsen, Sigfus J; Leuenberger, Markus C; Loulergue, Laetitia; Luethi, D; Oerter, Hans; Parrenin, Frédéric; Raisbeck, Grant M; Raynaud, Dominique; Schilt, Adrian; Schwander, Jakob; Selmo, Enrico; Souchez, Roland; Spahni, Renato; Stauffer, Bernhard; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tison, Jean-Louis; Werner, Martin; Wolff, Eric W (2007): Orbital and millennial Antarctic climate variability over the past 800,000 years. Science, 317(5839), 793-797, https://doi.org/10.1126/science.1141038
Abstract:	A high-resolution deuterium profile is now available along the entire European Project for Ice Coring in Antarctica Dome C ice core, extending this climate record back to marine isotope stage 20.2, ~800,000 years ago. Experiments performed with an atmospheric general circulation model including water isotopes support its temperature interpretation. We assessed the general correspondence between Dansgaard-Oeschger events and their smoothed Antarctic counterparts for this Dome C record, which reveals the presence of such features with similar amplitudes during previous glacial periods. We suggest that the interplay between obliquity and precession accounts for the variable intensity of interglacial periods in ice core records.
	Temperature was estimated after correction for sea-water isotopic composition (Bintanja et al, 2005) and for ice sheet elevation (Parrenin et al, 2007) on EDC3 age scale (Parrenin et al, 2007).
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: http://www.esf.org/index.php?id=855)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 3189.45 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
	δ Deuterium [‰ SMOW] (δD) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: LSCE, analytical accuracy of 0.5 per mil
	Temperature, difference [°C] (delta T) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Calculated * COMMENT: Temperature difference from the average of the last 1000 years
	Sample ID (Sample ID) * PI: Masson-Delmotte, Valerie * COMMENT: Bag number
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	23173 data points
*/
Depth ice/snow [m]	Age model [ka]	δD [‰ SMOW]	delta T [°C]	Sample ID
0.00	-0.050			1
0.55	-0.044			2
1.10	-0.037			3
1.65	-0.032			4
2.20	-0.025			5
2.75	-0.018			6
3.30	-0.011			7
3.85	-0.003			8
4.40	0.005			9
4.95	0.014			10
5.50	0.022			11
6.05	0.031			12
6.60	0.038	-390.9	0.88	13
7.15	0.047	-385.1	1.84	14
7.70	0.055	-377.8	3.04	15
8.25	0.064	-394.1	0.35	16
8.80	0.073	-398.7	-0.42	17
9.35	0.082	-395.9	0.05	18
9.90	0.091	-395.9	0.05	19
10.45	0.100	-399.3	-0.52	20
11.00	0.110	-391.4	0.79	21
11.55	0.119	-399.5	-0.55	22
12.10	0.129	-402.9	-1.11	23
12.65	0.140	-393.9	0.38	24
13.20	0.150	-398.6	-0.40	25
13.75	0.161	-389.8	1.05	26
14.30	0.171	-394.5	0.28	27
14.85	0.181	-400.5	-0.72	28
15.40	0.191	-403.6	-1.23	29
15.95	0.202	-393.1	0.51	30
16.50	0.212	-410.9	-2.44	31
17.05	0.223	-393.6	0.42	32
17.60	0.234	-391.1	0.84	33
18.15	0.245	-391.9	0.71	34
18.70	0.255	-396.3	-0.02	35
19.25	0.267	-397.0	-0.14	36
19.80	0.278	-404.7	-1.41	37
20.35	0.289	-398.2	-0.34	38
20.90	0.301	-395.2	0.16	39
21.45	0.312	-403.5	-1.22	40
22.00	0.324	-398.6	-0.41	41
22.55	0.336	-399.7	-0.59	42
23.10	0.347	-396.0	0.03	43
23.65	0.359	-400.2	-0.67	44
24.20	0.371	-401.6	-0.90	45
24.75	0.383	-405.4	-1.53	46
25.30	0.395	-399.0	-0.47	47
25.85	0.407	-396.9	-0.12	48
26.40	0.419	-394.9	0.21	49
26.95	0.430	-406.6	-1.73	50
27.50	0.442	-395.2	0.16	51
28.05	0.454	-395.3	0.14	52
28.60	0.466	-399.5	-0.56	53
29.15	0.478	-401.0	-0.80	54
29.70	0.490	-393.6	0.42	55
30.25	0.503	-410.4	-2.36	56
30.80	0.516	-401.3	-0.85	57
31.35	0.529	-398.3	-0.36	58
31.90	0.542	-388.5	1.26	59
32.45	0.555	-391.9	0.70	60
33.00	0.568	-400.8	-0.77	61
33.55	0.581	-387.7	1.40	62
34.10	0.594	-401.4	-0.87	63
34.65	0.606	-401.0	-0.81	64
35.20	0.619	-387.3	1.46	65
35.75	0.632	-390.2	0.98	66
36.30	0.645	-394.5	0.27	67
36.85	0.658	-401.9	-0.96	68
37.40	0.672	-399.8	-0.61	69
37.95	0.687	-399.9	-0.63	70
38.50	0.701	-399.1	-0.49	71
39.05	0.715	-401.9	-0.96	72
39.60	0.729	-404.8	-1.44	73
40.15	0.744	-401.6	-0.91	74
40.70	0.759	-396.7	-0.10	75
41.25	0.772	-397.1	-0.16	76
41.80	0.786	-394.2	0.32	77
42.35	0.799	-395.9	0.03	78
42.90	0.812	-392.7	0.56	79
43.45	0.825	-390.4	0.94	80
44.00	0.837	-389.0	1.17	81
44.55	0.849	-387.0	1.50	82
45.10	0.862	-402.3	-1.03	83
45.65	0.875	-392.5	0.59	84
46.20	0.889	-404.6	-1.41	85
46.75	0.903	-390.5	0.92	86
47.30	0.917	-402.3	-1.03	87
47.85	0.932	-400.1	-0.67	88
48.40	0.947	-399.4	-0.55	89
48.95	0.961	-400.6	-0.75	90
49.50	0.976	-393.8	0.38	91
50.05	0.990	-398.5	-0.40	92
50.60	1.005	-398.7	-0.44	93
51.15	1.019	-401.8	-0.95	94
51.70	1.032	-395.2	0.14	95
52.25	1.047	-390.1	0.99	96
